genes,Fold.c,logCPM,F,p.val,FDR
Igsf9,-5.265,6.115,540.243,5.0298360997105075e-11,5.292896527725367e-7
Ifi202b,9.374,6.708,480.43,1.785029947962531e-10,9.391935071204857e-7
Gas2l3,2.879,5.404,374.141,3.958317017878525e-10,1.3884456659711905e-6
Ccl9,3.589,8.906,322.902,9.00162914741256e-10,2.3681035879555593e-6
Igf1,2.957,7.935,261.845,2.8784172079038046e-9,4.809745358872458e-6
Anxa3,3.124,7.301,253.771,3.4218366362844897e-9,4.809745358872458e-6
Igf2bp3,-3.596,4.423,251.986,3.557699602787333e-9,4.809745358872458e-6
Dpep2,2.728,8.35,240.404,4.610911835425085e-9,4.809745358872458e-6
Hvcn1,3.01,6.947,239.72,4.683791451041654e-9,4.809745358872458e-6
Dleu2,-2.193,4.659,236.919,4.996768172085695e-9,4.809745358872458e-6
Adam33,-3.712,5.363,236.653,5.02776764683047e-9,4.809745358872458e-6
Tmem38b,2.406,4.827,227.076,6.30958160293648e-9,5.281301104768098e-6
P2rx4,1.396,6.969,223.993,6.8013553524529205e-9,5.281301104768098e-6
B4galt3,-1.538,5.702,220.459,7.42151851331985e-9,5.281301104768098e-6
Ap1s1,1.408,6.705,219.886,7.528225465316115e-9,5.281301104768098e-6
Paxbp1,-2.02,6.139,212.878,8.990487865585849e-9,5.912931488097493e-6
H2-Ob,-2.857,6.314,202.659,1.1766337812884355e-8,7.128800165619783e-6
Rhoc,1.643,5.997,199.541,1.2805649034347151e-8,7.128800165619783e-6
Aprt,2.642,4.936,198.122,1.3314282087814045e-8,7.128800165619783e-6
AA467197,6.835,4.036,208.953,1.3548988245975071e-8,7.128800165619783e-6
Plp2,2.852,4.061,189.581,1.6929236057430774e-8,8.26202194030669e-6
4632427E13Rik,-2.491,5.835,187.59,1.7930399881315485e-8,8.26202194030669e-6
Gpr84,4.344,4.442,186.982,1.8250048460720033e-8,8.26202194030669e-6
Rab39,-2.427,4.588,185.885,1.8843345677787757e-8,8.26202194030669e-6
Pld3,2.435,9.206,180.626,2.2024229363356633e-8,9.270438623624075e-6
Cotl1,1.888,7.51,177.982,2.3859032952978183e-8,9.57527914117235e-6
St7,3.965,3.914,175.38,2.5842856771459098e-8,9.57527914117235e-6
Cstb,2.982,7.639,174.005,2.6969523182893365e-8,9.57527914117235e-6
Pltp,2.077,8.816,173.968,2.7000349802430706e-8,9.57527914117235e-6
Nlrp1b,-1.947,5.426,172.085,2.864064865431314e-8,9.57527914117235e-6
Fgd2,-1.676,9.536,171.924,2.8786069769399965e-8,9.57527914117235e-6
Slc37a2,2.207,6.916,170.993,2.9644295439243214e-8,9.57527914117235e-6
Atp6v0c,1.834,9.157,169.716,3.087225419133037e-8,9.57527914117235e-6
Cd63,2.001,8.661,169.649,3.093789706356171e-8,9.57527914117235e-6
Acp5,4.537,8.594,181.407,3.217511401347373e-8,9.67367785039383e-6
Atp6v1c1,1.254,7.175,166.534,3.419899282853481e-8,9.996555598185328e-6
Psmb7,1.345,6.074,164.102,3.7028361219545175e-8,1.0192316826880845e-5
Atp10d,-2.03,5.694,164.094,3.7038685245085477e-8,1.0192316826880845e-5
